# People   # Trials   # Positive   % Positive
--------   --------   ----------   ----------
       5         30            4        13.3%
      10         30            3        10.0%
      15         30            8        26.7%
      20         30           13        43.3%
      25         30           20        66.7%
      30         30           22        73.3%
      35         30           28        93.3%
      40         30           25        83.3%
      45         30           27        90.0%
      50         30           30       100.0%
      55         30           29        96.7%
      60         30           30       100.0%
      65         30           30       100.0%
      70         30           30       100.0%
      75         30           30       100.0%
      80         30           30       100.0%
      85         30           30       100.0%
      90         30           30       100.0%
      95         30           30       100.0%
     100         30           30       100.0%
